Station,Lat,Lon,AQI,PM2.5,PM10,CO,NO2,SO2,O3,Temperature
"Talcher Coalfields, Talcher, India",20.9360711,85.1707021,80.0,80.0,22.0,22.681755453020138,18.440669043624162,43.759218749999995,8.244966442953022,25
"Kalyana Nagara, Chikkamagaluru, India",13.328028,75.797056,38.0,59.0,38.0,2.2910864093959735,16.55896812080537,0.26203125000000005,25.52013422818792,25
"Collector Office, Yadgir, India",16.7602,77.1428,45.0,45.0,36.0,6.1859333053691286,41.39742030201342,20.17640625,14.526845637583893,25
"Vidayagiri, Bagalkot, India",16.172806,75.659694,68.0,68.0,42.0,4.8112814597315445,6.209613045302014,7.336874999999998,12.956375838926174,25
"Bhopal Chauraha, Dewas, India",22.9682591,76.064118,99.0,99.0,63.0,3.2075209731543626,24.273941904362413,25.41703125,13.15268456375839,25
"Asansol Court Area, Asansol, India",23.685297,86.945968,77.0,77.0,32.0,1.374651845637584,19.38151950503356,10.48125,23.753355704697988,25
"D M Colony, Bihar Sharif, India",25.204762,85.51496,19.0,282.0,47.0,0.687325922818792,6.209613045302014,10.48125,36.90604026845638,25
"Buddha Colony, Muzaffarpur, India",26.11442,85.39813,53.0,53.0,35.0,4.238509857382551,3.951571937919463,3.668437499999999,31.60570469798658,25
"MIDC Khutala, Chandrapur, India",19.9775302,79.2337086,55.0,55.0,27.0,10.768106124161077,6.209613045302014,4.45453125,22.379194630872483,25
"Civic Center, Bhilai, India",21.185571,81.343175,20.0,20.0,5.0,10.19533452181208,9.78484479865772,9.433125,7.067114093959732,25
"Thavakkara, Kannur, India",11.875,75.3732,86.0,86.0,45.0,3.8948468959731546,11.85471581375839,4.7165625,23.949664429530202,25
"Vinoba Nagara, Shivamogga, India",13.94,75.555917,50.0,50.0,32.0,3.4366296140939596,14.112756921140939,2.6203125,24.931208053691275,25
"MIT-Daudpur Kothi, Muzaffarpur, India",26.1403345,85.3650192,85.0,85.0,40.0,6.300487625838926,10.913865352348994,9.171093749999999,24.73489932885906,25
